Name,Price,Product URL,Image URL
Nike M Air Max Alpha Trainer 5 Training Shoes,"EGP 7,929.00",https://www.jumia.com.eg/nike-m-air-max-alpha-trainer-5-training-shoes-131477416.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/4774131/3.jpg?2962
ADIDAS Duramo Sl 2 Running Shoes Running Shoes - Black,"EGP 2,426.00",https://www.jumia.com.eg/adidas-duramo-sl-2-running-shoes-running-shoes-black-131457261.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2754131/1.jpg?2109
Blue Bird Sport Shoes PL101 Tartan Gray.,EGP 499.00,https://www.jumia.com.eg/blue-bird-sport-shoes-pl101-tartan-gray.-132104883.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/8401231/1.jpg?9547
ADIDAS Men Ultrarun 5 Running Shoes -White,"EGP 3,692.00",https://www.jumia.com.eg/adidas-men-ultrarun-5-running-shoes-white-130482966.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/9284031/1.jpg?7798
Diadora GoalPulse Football Shoes - Black,"EGP 1,743.00",https://www.jumia.com.eg/diadora-goalpulse-football-shoes-black-113871857.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8178311/1.jpg?9125
ADIDAS LZW99 Kaptir 3.0 Running Shoes - Core Black,"EGP 3,303.00",https://www.jumia.com.eg/adidas-lzw99-kaptir-3.0-running-shoes-core-black-51878607.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/687815/1.jpg?0879
ADIDAS Response Shoes Running Shoes - Blue,"EGP 3,164.00",https://www.jumia.com.eg/adidas-response-shoes-running-shoes-blue-131457254.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/2754131/1.jpg?2191
Nike Downshifter 12 Running Shoes,"EGP 6,167.00",https://www.jumia.com.eg/nike-downshifter-12-running-shoes-131477395.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/3774131/2.jpg?0277
Reebok Jogger Lite Shoes-Low - Navy Blue,"EGP 2,572.00",https://www.jumia.com.eg/reebok-jogger-lite-shoes-low-navy-blue-130148066.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/0841031/1.jpg?8761
mintra Sports Shoe For Men -  Brilliant white/High rise,"EGP 1,330.00",https://www.jumia.com.eg/mintra-sports-shoe-for-men-brilliant-whitehigh-rise-131931663.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/6139131/1.jpg?6786
Reebok Fluxlite Shoes-Low - Blue,"EGP 2,250.00",https://www.jumia.com.eg/reebok-fluxlite-shoes-low-blue-130148060.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/0841031/1.jpg?8519
ADIDAS Predator Club Firm/Multi-Ground Boots,"EGP 2,215.00",https://www.jumia.com.eg/adidas-predator-club-firmmulti-ground-boots-132013474.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/4310231/1.jpg?2499
ADIDAS Lightshift Shoes Sportswear Shoes - White,"EGP 3,164.00",https://www.jumia.com.eg/adidas-lightshift-shoes-sportswear-shoes-white-131457283.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/2754131/1.jpg?2176
Anta X-Game Shoes For Men - White/Green,"EGP 3,217.00",https://www.jumia.com.eg/anta-x-game-shoes-for-men-whitegreen-130127000.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/0721031/1.jpg?4730
ADIDAS Duramo Speed 2 Running Shoes Running Shoes - White,"EGP 3,956.00",https://www.jumia.com.eg/adidas-duramo-speed-2-running-shoes-running-shoes-white-131457232.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/2754131/1.jpg?2128
Nike M Air Max Alpha Trainer 5 Training Shoes,"EGP 7,929.00",https://www.jumia.com.eg/nike-m-air-max-alpha-trainer-5-training-shoes-131477417.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/4774131/1.jpg?4698
Reebok Fluxlite Shoes-Low - Black,"EGP 2,250.00",https://www.jumia.com.eg/reebok-fluxlite-shoes-low-black-130148065.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0841031/1.jpg?8718
Reebok Jogger Lite Shoes-Low - Lite Blue,"EGP 2,572.00",https://www.jumia.com.eg/reebok-jogger-lite-shoes-low-lite-blue-130148064.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/0841031/1.jpg?8675
ADIDAS GRAND COURT 2.0 SHOES,"EGP 3,164.00",https://www.jumia.com.eg/adidas-grand-court-2.0-shoes-132013468.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/4310231/1.jpg?3427
Umbro Toccare Iv Tf Men Football Footwear - Safety Yellow / Black,"EGP 3,424.00",https://www.jumia.com.eg/umbro-toccare-iv-tf-men-football-footwear-safety-yellow-black-130126980.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/9621031/1.jpg?4070
ADIDAS Barreda Shoes,"EGP 2,821.00",https://www.jumia.com.eg/adidas-barreda-shoes-132013522.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/5310231/1.jpg?2314
ADIDAS F50 Club Firm/Multi-Ground Boots,"EGP 2,109.00",https://www.jumia.com.eg/adidas-f50-club-firmmulti-ground-boots-132013484.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/4310231/1.jpg?2522
